iter	Passed	Remaining
841	1005	188
842	1005	187
843	1006	186
844	1007	184
845	1008	183
846	1009	182
847	1010	181
848	1010	179
849	1011	178
850	1012	177
851	1013	176
852	1014	174
853	1015	173
854	1016	172
855	1017	171
856	1017	169
857	1019	168
858	1020	167
859	1021	166
860	1022	164
861	1022	163
862	1023	162
863	1024	161
864	1025	160
865	1026	158
866	1026	157
867	1027	156
868	1028	155
869	1029	153
870	1030	152
871	1030	151
872	1031	150
873	1032	148
874	1033	147
875	1034	146
876	1035	145
877	1035	143
878	1036	142
879	1037	141
880	1038	140
881	1039	139
882	1040	137
883	1040	136
884	1041	135
885	1043	134
886	1043	132
887	1044	131
888	1045	130
889	1046	129
890	1047	128
891	1047	126
892	1049	125
893	1050	124
894	1051	123
895	1052	122
896	1053	120
897	1054	119
898	1055	118
899	1056	117
900	1056	116
901	1057	114
902	1058	113
903	1059	112
904	1060	111
905	1061	110
906	1062	108
907	1063	107
908	1064	106
909	1065	105
910	1066	104
911	1067	103
912	1068	101
913	1069	100
914	1070	99
915	1071	98
916	1072	97
917	1073	95
918	1073	94
919	1074	93
920	1075	92
921	1076	91
922	1077	89
923	1078	88
924	1079	87
925	1080	86
926	1081	85
927	1082	84
928	1083	82
929	1084	81
930	1085	80
931	1086	79
932	1086	78
933	1087	76
934	1088	75
935	1089	74
936	1089	73
937	1090	72
938	1091	70
939	1092	69
940	1093	68
941	1095	67
942	1096	66
943	1097	65
944	1098	63
945	1099	62
946	1100	61
947	1100	60
948	1101	59
949	1102	58
950	1103	56
951	1104	55
952	1105	54
953	1106	53
954	1107	52
955	1108	51
956	1109	49
957	1110	48
958	1111	47
959	1112	46
960	1113	45
961	1114	44
962	1115	42
963	1116	41
964	1117	40
965	1117	39
966	1118	38
967	1119	37
968	1120	35
969	1121	34
970	1122	33
971	1123	32
972	1124	31
973	1125	30
974	1126	28
975	1127	27
976	1128	26
977	1129	25
978	1130	24
979	1131	23
980	1131	21
981	1132	20
982	1133	19
983	1134	18
984	1135	17
985	1136	16
986	1136	14
987	1138	13
988	1139	12
989	1140	11
990	1141	10
991	1142	9
992	1143	8
993	1144	6
994	1145	5
995	1146	4
996	1146	3
997	1147	2
998	1148	1
999	1149	0
